2025-07-28 08:32:29,748 - orchestrator - INFO - register_robot_service:124 - Registered robot service: meca
2025-07-28 08:32:29,750 - orchestrator - INFO - register_robot_service:124 - Registered robot service: ot2
2025-07-28 08:32:29,752 - orchestrator - INFO - register_protocol_service:129 - Registered protocol execution service
2025-07-28 08:32:34,807 - orchestrator - INFO - start:141 - RobotOrchestrator service started
2025-07-28 08:32:34,809 - command_service - INFO - _on_start:134 - Starting Robot command service...
2025-07-28 08:37:30,749 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:35,752 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:40,755 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:45,759 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:37:50,714 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:13,669 - orchestrator - INFO - register_robot_service:124 - Registered robot service: meca
2025-07-28 08:39:13,672 - orchestrator - INFO - register_robot_service:124 - Registered robot service: ot2
2025-07-28 08:39:13,677 - orchestrator - INFO - register_protocol_service:129 - Registered protocol execution service
2025-07-28 08:39:18,981 - orchestrator - INFO - start:141 - RobotOrchestrator service started
2025-07-28 08:39:18,983 - command_service - INFO - _on_start:134 - Starting Robot command service...
2025-07-28 08:39:18,986 - command_service - INFO - _on_start:139 - Orchestrator available with registered services: {'meca': 'MecaService', 'ot2': 'OT2Service'}
2025-07-28 08:39:18,997 - command_service - INFO - _on_start:144 - Available command processors: ['meca', 'ot2', 'arduino', 'carousel']
2025-07-28 08:39:19,002 - command_service - INFO - _on_start:148 - Robot command service started with command queue processor
2025-07-28 08:39:19,004 - command_service - INFO - start:141 - RobotCommandService service started
2025-07-28 08:39:19,070 - command_service - INFO - _process_command_queue:402 - Command queue processor started
2025-07-28 08:39:24,070 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:29,077 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:34,095 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:39,100 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:44,107 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:49,110 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:54,258 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:39:59,353 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:04,402 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:09,413 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:14,415 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:19,416 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:24,419 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:29,423 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:34,431 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:39,433 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:44,434 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:49,436 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:54,439 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:40:59,440 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:04,449 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:09,452 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:14,453 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:19,456 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:24,468 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:29,470 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:34,478 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:39,480 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:44,482 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:49,486 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:54,489 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:41:59,491 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:04,504 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:09,506 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:14,508 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:19,509 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:24,511 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:29,514 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:34,531 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:39,532 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:44,536 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:49,543 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:54,546 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:42:59,551 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:04,556 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:09,558 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:14,561 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:19,565 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:24,567 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:29,570 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:34,584 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:39,585 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:44,586 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:49,588 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:54,591 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:43:59,592 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:04,607 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:09,608 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:14,610 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:19,612 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:24,615 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:29,617 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:34,631 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:39,633 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:44,635 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:49,637 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:54,641 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:44:59,644 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:04,659 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:09,661 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:14,664 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:19,667 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:24,670 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:29,672 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:34,685 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:39,687 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:44,688 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:49,690 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:54,692 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:45:59,694 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:04,710 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:09,712 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:14,713 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:19,715 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:24,719 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:29,722 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:34,731 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:39,733 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:44,763 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:49,766 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:54,769 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:46:59,772 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:04,785 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:09,786 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:14,788 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:19,790 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:24,791 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:29,794 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:34,811 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:39,812 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:44,814 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:49,817 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:54,819 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:47:59,821 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:04,844 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:09,846 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:14,850 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:19,851 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:24,880 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:29,882 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:34,898 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:39,900 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:44,911 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:49,914 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:54,916 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:48:59,917 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:04,931 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:09,933 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:14,937 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:19,938 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:24,942 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:29,944 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:34,970 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:39,972 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:44,974 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:49,976 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:54,978 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:49:59,980 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:04,998 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:10,000 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:15,001 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:20,003 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:25,005 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:30,012 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:35,030 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:40,030 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:45,033 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:50,036 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:50:55,039 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:00,040 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:05,050 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:10,052 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:15,053 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:20,055 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:25,057 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:30,057 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:35,069 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:40,070 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:45,073 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:50,075 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:51:55,078 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:52:00,080 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:52:05,089 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
2025-07-28 08:52:10,091 - orchestrator - WARNING - _monitor_system_status:397 - Robots needing attention: ['meca', 'ot2']
